title,popularity,favorites,studios,studios_name
Angel Heart,0.1827019442774103,0.0003742127598589,1679,TMS Entertainment
Akage no Anne,0.1166900514465156,0.0039053480576765,981,Nippon Animation
Area 88 (TV),0.1997728335671811,0.0002667261160696,568,Group TAC
Argento Soma,0.153571189951226,0.0003781937466659,1635,Sunrise
B'T X,0.2134362263646689,0.0001512774986663,1679,TMS Entertainment
Grappler Baki (TV),0.0547203848466626,0.0035789071395017,568,Group TAC
Bakuten Shoot Beyblade,0.0693859824948219,0.0016919193929791,856,Madhouse
Comic Party,0.1762544264047571,0.0001871063799294,1010,OLM
Seikai no Monshou,0.1104429745439967,0.0019148546541716,1635,Sunrise
D.C.S.S: Da Capo Second Season,0.1441504643549141,0.0001472965118593,1981,feel.
Dear Boys,0.1724126411438498,0.0002189542743855,27,A.C.G.T.
Di Gi Charat,0.1566112113315962,0.0011226382795767,856,Madhouse
Divergence Eve,0.203547805171377,7.165776252617498e-05,1233,Radix
Divergence Eve 2: Misaki Chronicles,0.2547604730406895,4.777184168411665e-05,1233,Radix
Dragon Drive,0.1684706353978753,0.0002229352611925,856,Madhouse
Grenadier: Hohoemi no Senshi,0.1085053784993652,0.0003344028917888,576,Group TAC|Studio Live
.hack//Tasogare no Udewa Densetsu,0.0981492617090933,0.0005613191397883,211,Bee Train
.hack//Liminality,0.1441838711832698,0.0001512774986663,211,Bee Train
3x3 Eyes,0.1520678826752188,0.000421984601543,1751,Toei Animation
Cinderella Boy,0.2543595911004209,3.980986807009721e-05,882,Magic Bus
Mirai Shounen Conan,0.1104763813723525,0.0026831851079245,981,Nippon Animation
Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne,0.1722790138304269,0.0001074866437892,1010,OLM
Aa! Megami-sama! Movie,0.1268123204382976,0.0004060606543149,36,AIC
Abashiri Ikka,0.3081445847531235,3.582888126308749e-05,1584,Studio Pierrot|Tokyo Kids
Abenobashi Mahou☆Shoutengai,0.0805104563372753,0.0015844327491898,856,Madhouse
Kerokko Demetan,0.4199906460880603,1.9904934035048607e-05,1713,Tatsunoko Production
Zettai Shounen,0.1754860693525756,0.0002985740105257,98,Ajia-do
Akahori Gedou Hour Rabuge,0.2753390793078105,3.184789445607777e-05,1233,Radix
"Chiisana Obake: Acchi, Kocchi, Socchi",0.4047571323578539,3.980986807009721e-06,1574,Studio Pierrot
Ace wo Nerae!,0.1985367809180196,0.0004737374300341,1780,Tokyo Movie Shinsha
Ace wo Nerae! Final Stage,0.3559831629585087,4.3790854877106935e-05,1780,Tokyo Movie Shinsha
Ace wo Nerae! (1979),0.3047370882608405,5.5733815298136095e-05,1780,Tokyo Movie Shinsha
Ace wo Nerae! 2,0.3278880203113516,0.0001711824327014,1780,Tokyo Movie Shinsha
Xiao Qian,0.3555488741898844,2.3885920842058325e-05,1801,Triangle Staff
Nageki no Kenkou Yuuryouji,0.2837576000534509,8.360072294720415e-05,36,AIC
Final Fantasy VII: Advent Children,0.0425268924968263,0.0044507432502368,1410,Square Enix Visual Works
Hand Maid May,0.1488274203247143,0.0001592394722803,1692,TNK
Happy World!,0.2834235317698937,2.7866907649068047e-05,1948,Zexcs
A Kite,0.0883944678292242,0.001656090511716,145,Arms
Najica Dengeki Sakusen,0.1961648961047638,7.165776252617498e-05,1487,Studio Fantasia|Amber Film Works
Paradise Kiss,0.035979154139106,0.0213659561932211,856,Madhouse
Mousou Dairinin,0.018340348767288,0.0251598366203014,856,Madhouse
Kidou Keisatsu Patlabor: On Television,0.1251085721921561,0.0020303032715749,1635,Sunrise
Peach Girl,0.0725262243602592,0.0037699945062382,1458,Studio Comet
Petshop of Horrors,0.0936727467094274,0.0019785504430838,856,Madhouse
Puchi Pri*Yucie,0.1949956571123137,0.0003980986807009,503,Gainax|AIC
Piano,0.2431014899445446,4.777184168411665e-05,1010,OLM
Planetes,0.0333734215273601,0.0164295325525291,1635,Sunrise
Midori no Hibi,0.0503106835037081,0.0027866907649068,1574,Studio Pierrot
Mahoujin Guruguru,0.2219549675953765,0.0003224599313677,981,Nippon Animation
Dokidoki♡Densetsu: Mahoujin Guruguru,0.3210062136700741,2.3885920842058325e-05,981,Nippon Animation
Mama wa Shougaku 4-nensei,0.2617090933386784,0.0002030303271574,1635,Sunrise
Marmalade Boy,0.1070354780517137,0.002496078727995,1751,Toei Animation
Matantei Loki Ragnarok,0.1339947885347765,0.0007404635461038,1467,Studio Deen
Ginyuu Mokushiroku Meine Liebe,0.209427406961983,0.0001194296042102,211,Bee Train
Psychic Academy,0.2189149462150063,4.3790854877106935e-05,397,E&G Films
Versailles no Bara,0.0726264448453263,0.0136269178403942,1780,Tokyo Movie Shinsha
Serial Experiments Lain,0.0077169773501703,0.131081952594409,1801,Triangle Staff
Mutsu Enmei Ryuu Gaiden: Shura no Toki,0.164628850136968,0.0005453951925603,1458,Studio Comet
Spiral: Suiri no Kizuna,0.1132825549542326,0.0012102199893309,688,J.C.Staff
Starship Operators,0.1923565176722122,0.0001871063799294,688,J.C.Staff
Tsukuyomi: Moon Phase,0.0906661321574129,0.0011425432136117,1327,Shaft
Futatsu no Spica,0.224360259236988,0.0003065359841397,568,Group TAC
Eikoku Koi Monogatari Emma,0.1029598449923164,0.0014968510394356,1574,Studio Pierrot
W: Wish,0.195663793679428,5.971480210514582e-05,1807,Trinet Entertainment|Picture Magic
Wild Arms: Twilight Venom,0.247878666399412,5.5733815298136095e-05,211,Bee Train
